iter	Passed	Remaining
0	15	15065
1	23	11702
2	30	10288
3	38	9509
4	45	9046
5	52	8676
6	60	8620
7	69	8613
8	76	8450
9	83	8299
10	90	8158
11	98	8105
12	105	8027
13	113	7987
14	122	8030
15	130	8041
16	139	8046
17	148	8119
18	157	8136
19	166	8138
20	175	8184
21	184	8219
22	192	8179
23	201	8175
24	210	8206
25	219	8210
26	227	8204
27	237	8227
28	245	8231
29	253	8191
30	260	8143
31	268	8111
32	275	8084
33	283	8064
34	291	8029
35	299	8019
36	306	7983
37	313	7938
38	322	7934
39	329	7911
40	337	7883
41	344	7849
42	351	7815
43	358	7786
44	366	7779
45	373	7746
46	381	7729
47	387	7694
48	395	7681
49	403	7661
50	411	7655
51	418	7627
52	425	7598
53	432	7573
54	439	7558
55	447	7541
56	454	7521
57	462	7510
58	469	7485
59	476	7468
60	483	7445
61	491	7432
62	498	7417
63	507	7415
64	514	7398
65	521	7381
66	529	7371
67	536	7357
68	543	7337
69	551	7322
70	558	7305
71	566	7299
72	573	7279
73	580	7264
74	587	7247
75	594	7229
76	602	7216
77	610	7219
78	618	7208
79	626	7201
80	634	7193
81	641	7182
82	648	7169
83	656	7161
84	663	7147
85	671	7139
86	679	7126
87	685	7108
88	692	7092
89	700	7082
90	708	7075
91	718	7089
92	726	7089
93	734	7076
94	742	7073
95	751	7072
96	759	7073
97	768	7076
98	776	7071
99	784	7061
100	792	7057
101	802	7061
102	810	7062
103	819	7060
104	827	7050
105	834	7037
106	842	7035
107	850	7022
108	858	7015
109	866	7008
110	873	6994
111	880	6979
112	887	6967
113	894	6953
114	902	6944
115	910	6938
116	918	6930
117	925	6917
118	932	6902
119	939	6890
120	947	6879
121	954	6867
122	960	6850
123	968	6838
124	975	6825
125	982	6812
126	989	6802
127	997	6792
128	1005	6787
129	1012	6775
130	1019	6764
131	1027	6753
132	1034	6740
133	1041	6730
134	1048	6715
135	1055	6702
136	1062	6691
137	1069	6679
138	1076	6667
139	1083	6657
140	1090	6644
141	1098	6636
142	1105	6625
143	1112	6613
144	1119	6602
145	1126	6592
146	1134	6580
147	1141	6570
148	1150	6568
149	1157	6561
150	1165	6552
151	1172	6541
152	1179	6529
153	1186	6518
154	1193	6509
155	1200	6497
156	1208	6488
157	1215	6477
158	1222	6465
159	1229	6456
160	1236	6445
161	1244	6435
162	1251	6426
163	1259	6419
164	1266	6409
165	1273	6398
166	1280	6385
167	1288	6379
168	1295	6370
169	1303	6362
170	1310	6351
171	1318	6345
172	1325	6335
173	1332	6327
174	1340	6321
175	1348	6315
176	1356	6306
177	1363	6297
178	1372	6296
179	1381	6293
180	1389	6288
181	1397	6282
182	1406	6279
183	1414	6274
184	1423	6269
185	1432	6267
186	1439	6260
187	1447	6253
188	1456	6249
189	1464	6243
190	1474	6243
191	1482	6238
192	1491	6236
193	1500	6232
194	1507	6222
195	1515	6216
196	1522	6207
197	1529	6196
198	1536	6184
199	1543	6174
200	1550	6164
201	1557	6152
202	1565	6144
203	1573	6139
204	1580	6129
205	1587	6119
206	1594	6109
207	1602	6100
208	1609	6091
209	1616	6080
210	1623	6072
211	1631	6064
212	1638	6055
213	1646	6048
214	1654	6039
215	1661	6030
216	1668	6019
217	1675	6009
218	1682	5999
219	1689	5989
220	1697	5981
221	1704	5973
222	1711	5963
223	1719	5955
224	1726	5946
225	1733	5937
226	1741	5929
227	1748	5921
228	1755	5910
229	1763	5904
230	1770	5894
231	1777	5884
232	1784	5875
233	1791	5864
234	1798	5856
235	1806	5846
236	1813	5837
237	1820	5829
238	1827	5820
239	1835	5811
240	1842	5803
241	1849	5793
242	1856	5783
243	1864	5776
244	1872	5770
245	1880	5762
246	1888	5757
247	1896	5751
248	1904	5744
249	1913	5740
250	1921	5734
251	1930	5729
252	1938	5724
253	1947	5719
254	1955	5712
255	1963	5707
256	1972	5702
257	1981	5699
258	1990	5694
259	1998	5686
260	2006	5680
261	2014	5673
262	2021	5664
263	2029	5657
264	2036	5648
265	2043	5637
266	2050	5628
267	2059	5624
268	2066	5616
269	2073	5607
270	2081	5599
271	2089	5592
272	2096	5584
273	2104	5575
274	2111	5565
275	2118	5556
276	2125	5547
277	2132	5538
278	2139	5529
279	2147	5521
280	2154	5511
281	2161	5503
282	2168	5494
283	2176	5487
284	2183	5478
285	2190	5468
286	2198	5460
287	2205	5453
288	2213	5444
289	2220	5436
290	2227	5427
291	2235	5420
292	2243	5413
293	2252	5408
294	2261	5403
295	2270	5399
296	2279	5395
297	2288	5390
298	2296	5384
299	2304	5376
300	2312	5370
301	2321	5364
302	2329	5358
303	2337	5352
304	2346	5346
305	2354	5339
306	2363	5334
307	2372	5329
308	2380	5322
309	2387	5314
310	2395	5307
311	2403	5300
312	2410	5290
313	2417	5282
314	2424	5273
315	2432	5264
316	2439	5255
317	2446	5247
318	2454	5239
319	2462	5232
320	2469	5224
321	2477	5217
322	2484	5208
323	2491	5198
324	2499	5190
325	2506	5182
326	2513	5173
327	2520	5164
328	2527	5155
329	2535	5148
330	2542	5139
331	2549	5130
332	2557	5122
333	2564	5114
334	2572	5106
335	2580	5099
336	2587	5089
337	2594	5080
338	2600	5071
339	2607	5061
340	2614	5053
341	2622	5044
342	2629	5036
343	2636	5027
344	2643	5019
345	2651	5011
346	2659	5004
347	2666	4995
348	2674	4988
349	2683	4983
350	2691	4977
351	2700	4971
352	2708	4964
353	2717	4958
354	2725	4952
355	2734	4947
356	2742	4940
357	2751	4934
358	2760	4928
359	2769	4923
360	2778	4918
361	2787	4912
362	2795	4905
363	2804	4900
364	2812	4892
365	2820	4885
366	2827	4877
367	2835	4868
368	2842	4861
369	2849	4852
370	2856	4843
371	2864	4835
372	2871	4827
373	2879	4819
374	2886	4810
375	2893	4802
376	2900	4792
377	2907	4784
378	2914	4776
379	2922	4768
380	2929	4759
381	2937	4751
382	2943	4742
383	2951	4734
384	2958	4726
385	2965	4717
386	2972	4708
387	2980	4700
388	2986	4691
389	2993	4681
390	3000	4673
391	3007	4665
392	3015	4656
393	3023	4649
394	3031	4642
395	3038	4633
396	3045	4625
397	3052	4616
398	3059	4607
399	3066	4600
400	3073	4591
401	3080	4582
402	3087	4574
403	3094	4564
404	3101	4555
405	3108	4548
406	3116	4540
407	3123	4531
408	3130	4523
409	3137	4515
410	3145	4507
411	3152	4498
412	3169	4504
413	3177	4498
414	3189	4496
415	3199	4491
416	3212	4491
417	3220	4484
418	3228	4476
419	3244	4479
420	3251	4472
421	3259	4464
422	3267	4456
423	3274	4448
424	3282	4440
425	3289	4432
426	3296	4423
427	3303	4415
428	3311	4407
429	3318	4399
430	3325	4390
431	3333	4382
432	3340	4373
433	3347	4365
434	3354	4356
435	3361	4348
436	3368	4340
437	3375	4331
438	3382	4323
439	3390	4314
440	3397	4306
441	3405	4299
442	3414	4292
443	3420	4283
444	3427	4275
445	3434	4266
446	3441	4257
447	3449	4250
448	3456	4241
449	3462	4232
450	3469	4223
451	3476	4214
452	3483	4206
453	3491	4199
454	3498	4190
455	3506	4182
456	3513	4174
457	3520	4166
458	3528	4158
459	3535	4150
460	3543	4143
461	3551	4135
462	3558	4127
463	3566	4119
464	3573	4111
465	3580	4103
466	3587	4094
467	3595	4086
468	3602	4078
469	3610	4071
470	3617	4062
471	3625	4055
472	3632	4047
473	3640	4039
474	3647	4031
475	3654	4022
476	3661	4014
477	3668	4006
478	3675	3997
479	3682	3989
480	3690	3981
481	3698	3974
482	3704	3965
483	3712	3957
484	3720	3950
485	3727	3942
486	3735	3934
487	3743	3927
488	3752	3921
489	3762	3915
490	3770	3908
491	3778	3901
